nominal_formula,volume_per_atom,C11,C12,C44,B,Gv,GR,G,E,v,Hv,"AV,R",KIC,G/B,bulk_energy,force,real_formula,bulk_energy,volume,error1,error2,error3
HfMoTaWZr,23.06406,564.033,105.22,155.312,258.1577,184.9498,178.3542,181.652,441.421,0.215018,24.53424,0.018155,365.3579,0.703647,-20.9256,0.009848,Hf7Mo6Ta6W7Zr6C32,-669.618,738.05,1.39%,1.52%,0.33%
HfMoTiVW,21.13469,552.109,117.679,162.049,262.489,184.1154,180.3727,182.244,443.9812,0.218095,24.21943,0.010268,363.6762,0.694292,-20.0834,0.009682,Hf7Mo6Ti6V7W6C32,-642.67,676.31,1.73%,1.71%,0.19%
HfMoTiVZr,22.15781,499.344,101.678,153.202,234.2333,171.4544,168.6871,170.0707,410.7907,0.207705,24.2666,0.008136,334.4981,0.726074,-19.5487,0.026068,Hf7Mo6Ti6V7Zr6C32,-625.558,709.05,1.84%,1.32%,0.16%
HfMoTiWZr,22.68781,514.269,113.429,154.449,247.0423,172.8374,170.0511,171.4442,417.7053,0.218196,23.18267,0.008126,346.2682,0.693987,-20.2856,0.02579,Hf7Mo6Ti6W7Zr6C32,-649.139,726.01,1.64%,1.63%,0.13%
HfMoVWZr,22.34063,530.278,103.321,147.252,245.64,173.7426,168.1132,170.9279,416.2378,0.217583,23.20372,0.016467,343.8787,0.695847,-20.2722,0.00993,Hf7Mo6V6W7Zr6C32,-648.709,714.9,1.53%,1.82%,0.13%
HfNbTaTiV,21.85531,594.796,115.132,181.407,275.02,204.777,200.9923,202.8847,488.5244,0.203946,27.99661,0.009327,394.972,0.737709,-20.2522,0.0088,Hf7Nb6Ta6Ti7V6C32,-648.07,699.37,1.73%,2.05%,2.65%
HfNbTaTiW,22.26344,601.633,122.357,170.932,282.1157,198.4144,193.0743,195.7444,476.9284,0.218243,25.45768,0.01364,394.1458,0.693844,-20.8542,0.009246,Hf7Nb6Ta6Ti7W6C32,-667.333,712.43,1.59%,1.52%,0.10%
HfNbTaTiZr,23.2525,586.973,107.38,176.491,267.2443,201.8132,197.3287,199.5709,479.3827,0.201033,28.05901,0.011235,390.1646,0.746773,-20.3772,0.024598,Hf7Nb6Ta6Ti7Zr6C32,-652.07,744.08,3.69%,2.14%,0.13%
HfNbTaVW,21.8775,589.779,125.077,167.798,279.9777,193.6192,188.7768,191.198,467.235,0.221862,24.58925,0.012663,386.9335,0.682904,-20.8238,0.017399,Hf7Nb6Ta6V7W6C32,-666.363,700.08,1.74%,1.56%,0.09%
HfNbTaVZr,22.81,554.215,113.726,168.225,260.5557,189.0328,185.7764,187.4046,453.4897,0.209921,25.71512,0.008688,372.1299,0.71925,-20.3538,0.019838,Hf7Nb6Ta6V7Zr6C32,-651.321,729.92,1.80%,1.52%,0.25%
HfNbTaWZr,23.23906,592.618,110.241,166.545,271.0333,196.4024,190.0749,193.2387,468.398,0.211968,26.01863,0.016372,386.5996,0.71297,-21.0715,0.008885,Hf7Nb6Ta6W7Zr6C32,-674.29,743.65,1.91%,1.74%,0.40%
HfNbTiVW,21.41094,601.945,124.231,196.603,283.469,213.5046,211.574,212.5393,510.1243,0.20007,29.47233,0.004542,409.0205,0.74978,-20.1939,0.017524,Hf7Nb6Ti6V7W6C32,-646.205,685.15,1.63%,1.42%,1.16%
HfNbTiVZr,22.40813,498.272,122.014,171.729,247.4333,178.289,177.9335,178.1112,430.9334,0.209731,24.82855,0.000998,352.4864,0.719835,-19.6534,0.02278,Hf7Nb6Ti6V7Zr6C32,-628.909,717.06,1.84%,1.53%,1.93%
HfNbTiWZr,22.87906,593.079,107.444,169.812,269.3223,199.0142,193.0261,196.0201,473.2465,0.207137,26.90686,0.015274,387.1324,0.727827,-20.4127,0.009531,Hf7Nb6Ti6W7Zr6C32,-653.205,732.13,4.80%,2.86%,0.07%
HfNbVWZr,22.50281,576.279,108.667,165.68,264.5377,192.9304,187.5378,190.2341,460.3528,0.209964,25.98403,0.014174,376.93,0.719119,-20.404,0.009925,Hf7Nb6V6W7Zr6C32,-652.927,720.09,1.83%,1.74%,0.03%
HfTaTiVW,21.4175,579.537,121.165,171.179,273.9557,194.3818,190.4613,192.4216,467.7513,0.215434,25.50313,0.010187,382.6148,0.702382,-20.5168,0.008693,Hf7Ta6Ti6V7W6C32,-656.538,685.36,1.65%,1.52%,0.33%
HfTaTiVZr,22.39375,515.405,120.621,172.637,252.2157,182.539,181.7546,182.1468,440.4188,0.208967,25.31924,0.002153,359.847,0.722187,-19.9858,0.007808,Hf7Ta6Ti6V7Zr6C32,-639.545,716.6,1.68%,1.42%,0.24%
HfTaTiWZr,22.84594,568.4,117.29,171.283,267.66,192.9918,189.524,191.2579,463.3989,0.211451,25.89483,0.009066,381.1269,0.714555,-20.7326,0.008362,Hf7Ta6Ti6W7Zr6C32,-663.444,731.07,1.55%,2.03%,0.11%
HfTaVWZr,22.49875,558.607,120.963,168.326,266.8443,188.5244,185.4434,186.9839,454.7369,0.215979,24.92363,0.008239,375.3106,0.700723,-20.7222,0.028347,Hf7Ta6V6W7Zr6C32,-663.111,719.96,2.08%,1.93%,0.07%
